IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.216.225.25,443,443,true,PDX,North America,US,Portland,254,9.26
35.86.138.114,443,443,true,PDX,North America,US,Portland,241,9.26
34.219.18.231,443,443,true,PDX,North America,US,Portland,214,9.25
34.214.29.4,443,443,true,PDX,North America,US,Portland,372,9.25
52.34.98.253,443,443,true,PDX,North America,US,Portland,239,9.24
52.10.37.167,443,443,true,PDX,North America,US,Portland,404,9.24
54.200.244.93,443,443,true,PDX,North America,US,Portland,321,9.22
54.67.51.104,8443,443,true,SJC,North America,US,San Jose,262,9.22
52.10.230.80,443,443,true,PDX,North America,US,Portland,260,9.21
54.212.99.239,443,443,true,PDX,North America,US,Portland,228,9.20
34.214.172.22,443,443,true,SEA,North America,US,Seattle,221,9.20
51.20.69.114,443,443,true,CPH,Europe,DK,Copenhagen,251,9.20
34.217.87.226,443,443,true,SEA,North America,US,Seattle,229,9.20
52.42.136.75,443,443,true,PDX,North America,US,Portland,233,9.20
35.87.129.192,443,443,true,SEA,North America,US,Seattle,274,9.19
54.214.195.0,443,443,true,PDX,North America,US,Portland,282,9.19
54.213.215.13,2053,443,true,PDX,North America,US,Portland,272,9.19
34.220.38.56,443,443,true,PDX,North America,US,Portland,304,9.18
35.164.159.45,443,443,true,PDX,North America,US,Portland,243,9.17
34.220.171.252,443,443,true,PDX,North America,US,Portland,234,9.16
54.191.142.23,443,443,true,PDX,North America,US,Portland,249,9.16
40.172.150.147,8443,443,true,MRS,Europe,FR,Marseille,275,9.15
